거래일자,종목명,거래구분,거래수량,거래단가,거래금액,수수료,거래세,정산금액
2025-01-06,LG에너지솔루션,매수,9,381780,3436020,515,0,-3436535
2025-01-09,삼성전자,매수,9,73905,665145,100,0,-665245
2025-01-10,카카오,매수,7,49036,343252,51,0,-343303
2025-01-28,카카오,매도,7,50123,350861,53,632,350176
2025-01-31,LG에너지솔루션,매도,9,365087,3285783,493,5914,3279376
2025-01-31,LG에너지솔루션,매수,8,365087,2920696,438,0,-2921134
2025-02-03,SK하이닉스,매수,5,163888,819440,123,0,-819563
2025-02-07,삼성전자,매도,9,61919,557271,84,1003,556184
2025-02-10,삼성전자,매수,6,60683,364098,55,0,-364153
2025-02-27,SK하이닉스,매도,5,168591,842955,126,1517,841312
2025-03-04,카카오,매수,9,60475,544275,82,0,-544357
2025-03-12,LG에너지솔루션,매도,8,283885,2271080,341,4088,2266651
2025-03-12,LG에너지솔루션,매수,5,283885,1419425,213,0,-1419638
2025-03-12,삼성전자,매도,6,52635,315810,47,568,315195
2025-03-12,삼성전자,매수,7,52635,368445,55,0,-368500
2025-03-24,LG에너지솔루션,매도,5,320489,1602445,240,2884,1599321
2025-03-24,SK하이닉스,매수,5,160292,801460,120,0,-801580
2025-04-03,카카오,매도,9,56231,506079,76,911,505092
2025-04-04,삼성전자,매수,15,55302,829530,124,0,-829654
2025-04-04,삼성전자,매도,7,55302,387114,58,697,386359
2025-04-17,SK하이닉스,매도,5,149258,746290,112,1343,744835
2025-04-17,삼성전자,매도,15,59412,891180,134,1604,889442
2025-04-21,삼성전자,매수,9,58996,530964,80,0,-531044
2025-05-06,삼성전자,매도,9,60450,544050,82,979,542989
2025-05-06,SK하이닉스,매수,12,132800,1593600,239,0,-1593839
2025-05-09,삼성전자,매수,10,57750,577500,87,0,-577587
2025-05-12,LG에너지솔루션,매수,10,376133,3761330,564,0,-3761894
2025-05-20,삼성전자,매도,10,60353,603530,91,1086,602353
2025-05-22,삼성전자,매수,12,62789,753468,113,0,-753581
2025-05-23,SK하이닉스,매도,12,140652,1687824,253,3038,1684533
2025-05-26,SK하이닉스,매수,12,147383,1768596,265,0,-1768861
2025-06-06,LG에너지솔루션,매도,10,391959,3919590,588,7055,3911947
2025-06-11,SK하이닉스,매도,12,151008,1812096,272,3262,1808562
2025-06-18,LG에너지솔루션,매수,14,374312,5240368,786,0,-5241154
2025-06-19,삼성전자,매도,12,55782,669384,100,1205,668079
2025-06-19,SK하이닉스,매수,8,146251,1170008,176,0,-1170184
2025-06-26,삼성전자,매수,7,55202,386414,58,0,-386472
2025-07-07,SK하이닉스,매도,8,149756,1198048,180,2156,1195712
2025-07-08,SK하이닉스,매수,9,149442,1344978,202,0,-1345180
2025-07-11,LG에너지솔루션,매도,14,385197,5392758,809,9707,5382242
2025-07-15,삼성전자,매도,7,57458,402206,60,724,401422
2025-07-18,SK하이닉스,매도,9,157684,1419156,213,2554,1416389
2025-07-21,카카오,매수,15,33434,501510,75,0,-501585
2025-07-22,삼성전자,매수,9,51514,463626,70,0,-463696
2025-07-28,LG에너지솔루션,매수,13,323022,4199286,630,0,-4199916
2025-08-01,카카오,매도,15,37118,556770,84,1002,555684
2025-08-05,삼성전자,매도,9,54104,486936,73,876,485987
2025-08-07,SK하이닉스,매수,11,142446,1566906,235,0,-1567141
2025-08-08,삼성전자,매수,14,56642,792988,119,0,-793107
2025-08-14,LG에너지솔루션,매도,13,330710,4299230,645,7739,4290846
2025-08-22,LG에너지솔루션,매수,6,270624,1623744,244,0,-1623988
2025-08-25,SK하이닉스,매도,11,154391,1698301,255,3057,1694989
2025-08-25,삼성전자,매도,14,66880,936320,140,1685,934495
2025-08-27,카카오,매수,11,39777,437547,66,0,-437613
2025-09-01,SK하이닉스,매수,10,162539,1625390,244,0,-1625634
2025-09-08,LG에너지솔루션,매도,6,349926,2099556,315,3779,2095462
2025-09-10,LG에너지솔루션,매수,10,361205,3612050,542,0,-3612592
2025-09-15,SK하이닉스,매도,10,167087,1670870,251,3008,1667611
2025-09-17,SK하이닉스,매수,11,163911,1803021,270,0,-1803291
2025-10-03,카카오,매도,11,38517,423687,64,763,422860
2025-10-03,카카오,매수,7,38517,269619,40,0,-269659
2025-10-08,LG에너지솔루션,매도,10,292862,2928620,439,5272,2922909
2025-10-09,삼성전자,매수,12,53922,647064,97,0,-647161
2025-10-22,SK하이닉스,매도,11,148717,1635887,245,2945,1632697
2025-10-24,SK하이닉스,매수,5,140139,700695,105,0,-700800
2025-10-27,카카오,매도,7,34805,243635,37,439,243159
2025-10-31,삼성전자,매도,12,52536,630432,95,1135,629202
2025-10-31,카카오,매수,13,36622,476086,71,0,-476157
