거래일자,종목명,거래구분,거래수량,거래단가,거래금액,수수료,거래세,정산금액
2025-01-03,카카오,매수,7,49239,344673,52,0,-344725
2025-01-03,삼성전자,매수,9,71700,645300,97,0,-645397
2025-01-06,LG에너지솔루션,매수,13,405823,5275699,791,0,-5276490
2025-01-14,삼성전자,매도,9,80783,727047,109,1309,725629
2025-01-14,SK하이닉스,매수,7,219291,1535037,230,0,-1535267
2025-01-15,카카오,매도,7,53556,374892,56,675,374161
2025-01-16,삼성전자,매수,10,75692,756920,114,0,-757034
2025-01-27,SK하이닉스,매도,7,244144,1709008,256,3076,1705676
2025-01-28,SK하이닉스,매수,5,263284,1316420,197,0,-1316617
2025-01-31,LG에너지솔루션,매도,13,379900,4938700,741,8890,4929069
2025-01-31,LG에너지솔루션,매수,3,379900,1139700,171,0,-1139871
2025-02-06,SK하이닉스,매도,5,296002,1480010,222,2664,1477124
2025-02-07,삼성전자,매도,10,70943,709430,106,1277,708047
2025-02-07,삼성전자,매수,5,70943,354715,53,0,-354768
2025-02-10,LG에너지솔루션,매수,9,423605,3812445,572,0,-3813017
2025-02-10,SK하이닉스,매수,8,284758,2278064,342,0,-2278406
2025-02-10,LG에너지솔루션,매도,3,423605,1270815,191,2287,1268337
2025-02-14,삼성전자,매도,5,73410,367050,55,661,366334
2025-02-18,SK하이닉스,매도,8,293612,2348896,352,4228,2344316
2025-02-18,삼성전자,매수,11,77471,852181,128,0,-852309
2025-02-20,LG에너지솔루션,매도,9,471501,4243509,637,7638,4235234
2025-02-20,카카오,매수,11,59867,658537,99,0,-658636
2025-02-21,SK하이닉스,매수,15,276885,4153275,623,0,-4153898
2025-03-04,카카오,매수,12,65360,784320,118,0,-784438
2025-03-04,카카오,매도,11,65360,718960,108,1294,717558
2025-03-10,삼성전자,매도,11,81418,895598,134,1612,893852
2025-03-10,SK하이닉스,매도,15,285923,4288845,643,7720,4280482
2025-03-12,카카오,매도,12,72601,871212,131,1568,869513
2025-03-12,LG에너지솔루션,매수,15,521449,7821735,1173,0,-7822908
2025-03-13,삼성전자,매수,10,80431,804310,121,0,-804431
2025-03-17,SK하이닉스,매수,15,281085,4216275,632,0,-4216907
2025-03-27,삼성전자,매도,10,93009,930090,140,1674,928276
2025-03-27,카카오,매수,12,64843,778116,117,0,-778233
2025-04-08,SK하이닉스,매도,15,254254,3813810,572,6865,3806373
2025-04-09,LG에너지솔루션,매도,15,412676,6190140,929,11142,6178069
2025-04-09,LG에너지솔루션,매수,8,412676,3301408,495,0,-3301903
2025-04-09,카카오,매도,12,72791,873492,131,1572,871789
2025-04-11,SK하이닉스,매수,12,284751,3417012,513,0,-3417525
2025-04-18,삼성전자,매수,12,88674,1064088,160,0,-1064248
2025-04-24,SK하이닉스,매도,12,294991,3539892,531,6372,3532989
2025-04-28,SK하이닉스,매수,14,312122,4369708,655,0,-4370363
2025-04-30,LG에너지솔루션,매도,8,400693,3205544,481,5770,3199293
2025-04-30,LG에너지솔루션,매수,6,400693,2404158,361,0,-2404519
2025-05-06,SK하이닉스,매도,14,327405,4583670,688,8251,4574731
2025-05-12,삼성전자,매도,12,86663,1039956,156,1872,1037928
2025-05-12,LG에너지솔루션,매도,6,477856,2867136,430,5161,2861545
2025-05-12,SK하이닉스,매수,7,330021,2310147,347,0,-2310494
2025-05-14,삼성전자,매수,10,85142,851420,128,0,-851548
2025-05-22,카카오,매수,14,76506,1071084,161,0,-1071245
2025-05-23,삼성전자,매도,10,92817,928170,139,1671,926360
2025-05-28,삼성전자,매수,7,96383,674681,101,0,-674782
2025-06-04,SK하이닉스,매도,7,302378,2116646,317,3810,2112519
2025-06-04,SK하이닉스,매수,8,302378,2419024,363,0,-2419387
2025-06-05,삼성전자,매도,7,108268,757876,114,1364,756398
2025-06-06,LG에너지솔루션,매수,15,589673,8845095,1327,0,-8846422
2025-06-13,SK하이닉스,매도,8,349040,2792320,419,5026,2786875
2025-06-13,삼성전자,매수,11,109914,1209054,181,0,-1209235
2025-06-17,LG에너지솔루션,매도,15,633553,9503295,1425,17106,9484764
2025-06-17,LG에너지솔루션,매수,14,633553,8869742,1330,0,-8871072
2025-06-17,카카오,매도,14,58731,822234,123,1480,820631
2025-06-18,카카오,매수,13,57865,752245,113,0,-752358
2025-06-25,삼성전자,매도,11,121868,1340548,201,2413,1337934
2025-06-27,LG에너지솔루션,매도,14,672126,9409764,1411,16938,9391415
2025-06-27,삼성전자,매수,7,127898,895286,134,0,-895420
2025-07-01,SK하이닉스,매수,15,401405,6021075,903,0,-6021978
