거래일자,종목명,거래수량,거래금액,거래세/농특세,정산금액,미수변제,예수금,대출상환금,대출일,매체구분
거래소,거래구분,거래단가,수수료,소득세/주민세,미수발생금,연체변제,유가잔고,신용/대출이자,상환차금,처리시간
2024-04-01,삼성전자,10,710000,426,709219,0,5000000,0,,MTS
KRX,매수,71000,355,0,0,0,100,0,0,09:32:14
2024-04-01,SK하이닉스,5,950000,570,948955,0,4290000,0,,MTS
KRX,매수,190000,475,0,0,0,5,0,0,10:15:42
2024-04-02,삼성전자,10,720000,432,719213,0,3340000,0,,MTS
KRX,매도,72000,360,0,0,0,90,0,0,09:45:22
2024-04-03,NAVER,3,540000,324,539351,0,4060000,0,,MTS
KRX,매수,180000,270,0,0,0,3,0,0,11:02:05
2024-04-03,SK하이닉스,5,940000,564,938961,0,3520000,0,,MTS
KRX,매도,188000,470,0,0,0,0,0,0,14:33:17
2024-04-04,NAVER,3,552000,331,551344,0,4460000,0,,MTS
KRX,매도,184000,276,0,0,0,0,0,0,10:22:48
2024-04-05,카카오,20,1100000,660,1098790,0,5010000,0,,MTS
KRX,매수,55000,550,0,0,0,20,0,0,09:11:33
2024-04-05,카카오,20,1060000,636,1058814,0,3910000,0,,MTS
KRX,매도,53000,530,0,0,0,0,0,0,15:44:09
2024-04-08,LG에너지솔루션,2,820000,492,819183,0,4968000,0,,MTS
KRX,매수,410000,410,0,0,0,2,0,0,10:05:17
2024-04-09,LG에너지솔루션,2,800000,480,799190,0,4167000,0,,MTS
KRX,매도,400000,400,0,0,0,0,0,0,13:28:44
