agent_id,신규여부,성별,연령,자산,진입일,초기보유종목수,초기총자산,모드_disposition_strength,모드_overconfidence,모드_lottery_preference,모드_herd_sensitivity
1,신규,남성,20대이하,1천만원이하,2020-07-10,0,1521990,natural,natural,natural,natural
2,신규,여성,60대이상,1천만원이하,2020-05-20,0,8441669,natural,natural,natural,natural
3,기존,남성,40대,3천만원이하,2020-03-02,7,29525102,natural,natural,natural,natural
4,신규,남성,20대이하,1천만원이하,2020-03-23,0,8345137,natural,natural,natural,natural
5,신규,여성,30대,3천만원이하,2020-10-19,0,11192023,natural,natural,natural,natural
6,기존,여성,30대,1억원초과,2020-03-02,13,159953399,natural,natural,natural,natural
7,신규,남성,30대,1천만원이하,2020-03-03,0,7565008,natural,natural,natural,natural
8,기존,남성,40대,3천만원이하,2020-03-02,7,19779262,natural,natural,natural,natural
9,기존,남성,30대,1천만원이하,2020-03-02,4,7257658,natural,natural,natural,natural
10,기존,남성,30대,1억원초과,2020-03-02,12,232830441,natural,natural,natural,natural
11,기존,남성,60대이상,1천만원이하,2020-03-02,3,4472123,natural,natural,natural,natural
12,기존,남성,30대,1억원이하,2020-03-02,4,83776309,natural,natural,natural,natural
13,신규,남성,40대,1억원이하,2020-08-03,0,68460794,natural,natural,natural,natural
14,기존,남성,30대,1천만원이하,2020-03-02,4,8957735,natural,natural,natural,natural
15,기존,남성,20대이하,1억원초과,2020-03-02,25,217824701,natural,natural,natural,natural
16,기존,남성,30대,1천만원이하,2020-03-02,1,7214443,natural,natural,natural,natural
17,신규,여성,20대이하,1천만원이하,2020-10-21,0,8870619,natural,natural,natural,natural
18,기존,남성,60대이상,1천만원이하,2020-03-02,1,1606129,natural,natural,natural,natural
19,기존,여성,50대,1억원초과,2020-03-02,23,120292874,natural,natural,natural,natural
20,신규,남성,30대,1천만원이하,2020-03-17,0,4126506,natural,natural,natural,natural
21,기존,여성,30대,1천만원이하,2020-03-02,5,1772962,natural,natural,natural,natural
22,신규,여성,30대,1천만원이하,2020-08-24,0,9558870,natural,natural,natural,natural
23,기존,여성,30대,1천만원이하,2020-03-02,2,8769925,natural,natural,natural,natural
24,신규,남성,30대,3천만원이하,2020-09-16,0,25581098,natural,natural,natural,natural
25,기존,남성,60대이상,1천만원이하,2020-03-02,1,8364996,natural,natural,natural,natural
26,신규,여성,30대,1천만원이하,2020-03-11,0,3514767,natural,natural,natural,natural
27,기존,남성,60대이상,1천만원이하,2020-03-02,3,9595006,natural,natural,natural,natural
28,기존,여성,60대이상,1천만원이하,2020-03-02,4,9102775,natural,natural,natural,natural
29,기존,남성,60대이상,3천만원이하,2020-03-02,5,28195543,natural,natural,natural,natural
30,신규,남성,30대,1천만원이하,2020-05-22,0,8207412,natural,natural,natural,natural
31,기존,남성,40대,1천만원이하,2020-03-02,1,2143345,natural,natural,natural,natural
32,신규,남성,30대,1천만원이하,2020-10-07,0,6915415,natural,natural,natural,natural
33,기존,남성,50대,3천만원이하,2020-03-02,5,20531621,natural,natural,natural,natural
34,기존,남성,30대,1천만원이하,2020-03-02,2,3636700,natural,natural,natural,natural
35,기존,여성,50대,1억원이하,2020-03-02,12,54764882,natural,natural,natural,natural
36,기존,여성,40대,1천만원이하,2020-03-02,3,5786425,natural,natural,natural,natural
37,신규,남성,40대,1천만원이하,2020-07-03,0,2551120,natural,natural,natural,natural
38,기존,여성,30대,3천만원이하,2020-03-02,7,25685450,natural,natural,natural,natural
39,기존,남성,20대이하,3천만원이하,2020-03-02,6,21234588,natural,natural,natural,natural
40,기존,남성,60대이상,1억원초과,2020-03-02,8,238546201,natural,natural,natural,natural
41,신규,여성,40대,1억원이하,2020-10-08,0,95952641,natural,natural,natural,natural
42,기존,남성,50대,3천만원이하,2020-03-02,6,18842362,natural,natural,natural,natural
43,기존,남성,50대,1천만원이하,2020-03-02,1,2390020,natural,natural,natural,natural
44,기존,여성,40대,1억원초과,2020-03-02,22,290500826,natural,natural,natural,natural
45,기존,여성,30대,3천만원이하,2020-03-02,10,20312101,natural,natural,natural,natural
46,기존,남성,60대이상,1억원이하,2020-03-02,11,60832067,natural,natural,natural,natural
47,기존,남성,40대,1천만원이하,2020-03-02,1,8095268,natural,natural,natural,natural
48,기존,남성,50대,1천만원이하,2020-03-02,3,2166000,natural,natural,natural,natural
49,신규,남성,20대이하,1천만원이하,2020-03-25,0,6135354,natural,natural,natural,natural
50,신규,남성,20대이하,1천만원이하,2020-04-03,0,9445147,natural,natural,natural,natural
51,기존,남성,30대,1억원이하,2020-03-02,6,61764146,natural,natural,natural,natural
52,기존,남성,60대이상,1억원이하,2020-03-02,8,46690532,natural,natural,natural,natural
53,기존,여성,50대,3천만원이하,2020-03-02,7,25189965,natural,natural,natural,natural
54,기존,남성,50대,1억원이하,2020-03-02,10,31074228,natural,natural,natural,natural
55,기존,남성,50대,1억원초과,2020-03-02,8,263784028,natural,natural,natural,natural
56,기존,남성,30대,3천만원이하,2020-03-02,10,29648811,natural,natural,natural,natural
57,기존,여성,40대,1억원이하,2020-03-02,10,33807198,natural,natural,natural,natural
58,기존,남성,30대,3천만원이하,2020-03-02,7,26825380,natural,natural,natural,natural
59,기존,남성,40대,1천만원이하,2020-03-02,6,2417796,natural,natural,natural,natural
60,기존,남성,50대,1천만원이하,2020-03-02,7,9691001,natural,natural,natural,natural
61,기존,남성,50대,3천만원이하,2020-03-02,3,14019601,natural,natural,natural,natural
62,기존,여성,40대,1천만원이하,2020-03-02,4,1202447,natural,natural,natural,natural
63,기존,여성,50대,1천만원이하,2020-03-02,1,7443941,natural,natural,natural,natural
64,신규,여성,30대,1천만원이하,2020-03-19,0,6788975,natural,natural,natural,natural
65,기존,여성,30대,1천만원이하,2020-03-02,1,2253768,natural,natural,natural,natural
66,신규,남성,20대이하,1천만원이하,2020-08-04,0,9035468,natural,natural,natural,natural
67,기존,남성,50대,3천만원이하,2020-03-02,3,12098329,natural,natural,natural,natural
68,기존,남성,50대,3천만원이하,2020-03-02,6,10066287,natural,natural,natural,natural
69,기존,남성,60대이상,1억원초과,2020-03-02,14,247357666,natural,natural,natural,natural
70,신규,여성,30대,1천만원이하,2020-10-23,0,9781616,natural,natural,natural,natural
71,기존,여성,60대이상,3천만원이하,2020-03-02,4,22855260,natural,natural,natural,natural
72,기존,남성,60대이상,3천만원이하,2020-03-02,7,10249384,natural,natural,natural,natural
73,기존,남성,50대,1억원초과,2020-03-02,18,203307139,natural,natural,natural,natural
74,기존,남성,50대,3천만원이하,2020-03-02,5,28725087,natural,natural,natural,natural
75,기존,남성,40대,1천만원이하,2020-03-02,4,2888535,natural,natural,natural,natural
76,기존,남성,60대이상,3천만원이하,2020-03-02,4,12652101,natural,natural,natural,natural
77,기존,여성,30대,3천만원이하,2020-03-02,6,19722813,natural,natural,natural,natural
78,기존,남성,50대,1천만원이하,2020-03-02,3,4095641,natural,natural,natural,natural
79,기존,여성,40대,1억원초과,2020-03-02,16,285279772,natural,natural,natural,natural
80,기존,남성,50대,1천만원이하,2020-03-02,2,6302590,natural,natural,natural,natural
81,기존,여성,30대,3천만원이하,2020-03-02,5,15712464,natural,natural,natural,natural
82,신규,남성,30대,1천만원이하,2020-09-03,0,9605487,natural,natural,natural,natural
83,기존,여성,60대이상,1천만원이하,2020-03-02,2,7476153,natural,natural,natural,natural
84,기존,남성,60대이상,1천만원이하,2020-03-02,1,1440792,natural,natural,natural,natural
85,기존,남성,40대,1천만원이하,2020-03-02,2,9786666,natural,natural,natural,natural
86,신규,여성,30대,1천만원이하,2020-10-13,0,2454913,natural,natural,natural,natural
87,기존,남성,50대,1천만원이하,2020-03-02,4,5049644,natural,natural,natural,natural
88,신규,남성,50대,1천만원이하,2020-05-26,0,3325218,natural,natural,natural,natural
89,신규,여성,30대,1천만원이하,2020-10-12,0,4391792,natural,natural,natural,natural
90,기존,여성,50대,1억원이하,2020-03-02,10,74073883,natural,natural,natural,natural
91,기존,남성,40대,1천만원이하,2020-03-02,5,9585492,natural,natural,natural,natural
